secid,date,rv_raw,rv_ann,rv_d,rv_w,rv_m,rv_target,estimator,log_rv
GLDRUB_TOM,2018-01-25,1.3134713320083665e-05,0.057532145420287284,-13.285303177558035,-14.829763071988086,-14.16767224062271,-11.240251960715227,garman_klass,True
GLDRUB_TOM,2018-01-26,8.60977593940874e-06,0.046579647237082016,-11.240251960715227,-13.658416293893524,-13.901543124267484,-11.662612263160721,garman_klass,True
GLDRUB_TOM,2018-01-29,8.100692142775066e-07,0.014287667479260975,-11.662612263160721,-13.259255487746964,-13.714965552508588,-14.02614614320523,garman_klass,True
GLDRUB_TOM,2018-01-30,4.96222953427396e-06,0.035362152686693696,-14.02614614320523,-13.229639160896344,-13.738902521023714,-12.213655415345778,garman_klass,True
GLDRUB_TOM,2018-01-31,5.713807268619836e-06,0.03794574326182317,-12.213655415345778,-12.485593791997,-13.629956299189574,-12.072624984402564,garman_klass,True
GLDRUB_TOM,2018-02-01,1.5668363631517306e-06,0.019870650807515995,-12.072624984402564,-12.243058153365904,-13.526134211537109,-13.366452026876864,garman_klass,True
GLDRUB_TOM,2018-02-02,4.321067835302848e-08,0.0032998622615138316,-13.366452026876864,-12.668298166598232,-13.516154074995843,-16.95717818814342,garman_klass,True
GLDRUB_TOM,2018-02-05,1.650916155959677e-05,0.0645004551380716,-16.95717818814342,-13.72721135159477,-13.718567258122171,-11.011595085113616,garman_klass,True
GLDRUB_TOM,2018-02-09,1.0562584938601434e-06,0.01631493611549724,-13.51760411655886,-13.828792463271965,-13.472315001106786,-13.760777616782965,garman_klass,True
GLDRUB_TOM,2018-02-12,7.713232042791491e-07,0.013941787814995091,-13.760777616782965,-12.763325606151815,-13.38956848908962,-14.075158349823766,garman_klass,True
GLDRUB_TOM,2018-02-13,8.636416269612201e-07,0.014752548593183059,-14.075158349823766,-13.784513361055197,-13.465571638658334,-13.96210793779857,garman_klass,True
GLDRUB_TOM,2018-02-14,0.00020096914564159533,0.22504271750421526,-13.96210793779857,-13.82891200524104,-13.43365220131856,-8.512359165958856,garman_klass,True
GLDRUB_TOM,2018-02-15,3.328897764734752e-06,0.028963463824500643,-8.512359165958856,-12.765601437384603,-13.217748425267928,-12.612869310346191,garman_klass,True
GLDRUB_TOM,2018-02-19,2.4700666039602537e-06,0.024949083834842192,-12.612869310346191,-12.58465447614207,-13.18591268237731,-12.911265442521847,garman_klass,True
GLDRUB_TOM,2018-02-22,4.3857146060330524e-08,0.003324454963930673,-12.911265442521847,-12.414752041289848,-13.222195278668782,-16.942328165377678,garman_klass,True
GLDRUB_TOM,2018-02-26,1.9577080653412547e-08,0.0022211313163926086,-16.942328165377678,-12.988186004400628,-13.275705230894266,-17.748906309356,garman_klass,True
GLDRUB_TOM,2018-02-27,1.1511566379915709e-05,0.053860140435564766,-17.748906309356,-13.745545678712114,-13.49936528481735,-11.372158255878428,garman_klass,True
GLDRUB_TOM,2018-02-28,3.206407200948561e-07,0.008988963314192785,-11.372158255878428,-14.317505496696029,-13.359261808738356,-14.952944592687672,garman_klass,True
GLDRUB_TOM,2018-03-02,1.6002559347143154e-05,0.06350310980952094,-14.952944592687672,-14.785520553164327,-13.310214925380615,-11.042761889320154,garman_klass,True
GLDRUB_TOM,2018-03-05,6.275150977941995e-06,0.03976604137252516,-11.042761889320154,-14.411819842523986,-13.198087860968721,-11.97891301300607,garman_klass,True
