date,tg_score,tg_n,tg_channels,tg_views_total
2018-01-30,-1.0,1,1,85
2018-02-07,1.0,1,1,95
2018-02-12,0.0,1,1,109
2018-02-19,1.0,2,1,169
2018-02-21,1.0,1,1,82
2018-02-22,0.0,1,1,114
2018-03-01,0.55122,2,1,205
2018-03-02,-1.0,1,1,139
2018-03-05,1.0,1,1,342
2018-03-12,1.0,1,1,166
2018-03-15,-0.571429,2,1,301
2018-03-16,0.0,1,1,157
2018-03-19,0.0,1,1,183
2018-03-27,0.0,1,1,178
2018-03-30,1.0,1,1,215
2018-04-06,1.0,1,1,192
2018-04-10,-1.0,1,1,227
2018-04-27,0.0,1,1,7
2018-05-16,0.0,1,1,213
2018-05-18,0.0,2,1,323
2018-05-22,0.0,1,1,157
2018-05-24,0.473418,2,1,395
2018-06-05,1.0,1,1,203
2018-06-21,1.0,1,1,200
2018-06-26,-1.0,1,1,179
2018-11-12,0.0,1,1,1332
2018-11-13,-1.0,1,1,1510
2018-11-21,1.0,1,1,1633
2018-11-22,-0.333333,1,1,2186
2018-11-30,0.0,1,1,2391
2018-12-03,-0.506196,2,1,4761
2018-12-04,-1.0,1,1,2681
2018-12-19,1.0,1,1,7822
2018-12-20,-1.0,1,1,9601
2019-01-10,0.0,1,1,7995
2019-01-11,0.0,1,1,8310
2019-01-17,-1.0,1,1,12675
2019-01-21,1.0,1,1,10154
2019-01-22,-1.0,1,1,9091
2019-01-23,0.666667,1,1,9911
2019-01-24,1.0,1,1,11108
2019-01-29,-1.0,1,1,11451
2019-01-30,0.0,1,1,12284
2019-01-31,0.0,1,1,11228
2019-02-04,-1.0,1,1,13506
2019-02-05,0.0,1,1,11781
2019-02-06,-1.0,1,1,13114
2019-02-07,1.0,1,1,12798
2019-02-08,1.0,1,1,12371
2019-02-11,-1.0,1,1,12908
2019-02-12,0.0,1,1,11483
2019-02-14,-1.0,1,1,12449
2019-02-18,1.0,1,1,12649
2019-02-19,-1.0,1,1,11720
2019-02-22,0.333333,1,1,11963
2019-02-25,1.0,1,1,12421
2019-02-28,0.0,1,1,11858
2019-03-04,0.0,1,1,12868
2019-03-07,-1.0,1,1,12471
2019-03-13,-1.0,1,1,10493
2019-03-14,-0.043617,2,1,20703
2019-03-19,-1.0,1,1,10094
2019-03-20,-1.0,1,1,9419
2019-03-21,0.333333,1,1,9467
2019-03-26,-1.0,1,1,9809
2019-03-27,0.0,1,1,10579
2019-03-28,-1.0,1,1,11975
2019-03-29,0.0,1,1,10053
2019-04-01,0.0,1,1,10097
2019-04-03,0.0,1,1,10003
2019-04-04,0.333333,1,1,10128
2019-04-05,0.13906,2,1,24632
2019-04-08,1.0,1,1,10740
2019-04-09,1.0,1,1,10697
2019-04-10,-1.0,1,1,10406
2019-04-11,0.5,1,1,11122
2019-04-12,1.0,1,1,10874
2019-04-15,0.5,1,1,9919
2019-04-16,1.0,1,1,9329
2019-04-17,-0.333333,1,1,9309
